/* DATA DESCRIPTION:
Citation:	Petit, Jean Robert; Jouzel, Jean (1999): Vostok ice core deuterium data for 420,000 years [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55505
Related to:	Petit, Jean Robert; Jouzel, Jean; Raynaud, Dominique; Barkov, Nartsiss I; Barnola, Jean-Marc; Basile, Isabelle; Bender, Michael L; Chappellaz, Jérôme A; Davis, John C; Delaygue, Gilles; Delmotte, M; Kotlyakov, Vladimir; Legrand, Michel R; Lipenkov, Vladimir Ya; Lorius, C; Pepin, L; Ritz, Catherine; Saltzman, Eric S; Stiévenard, Michel (1999): Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica. Nature, 399(6735), 429-436, https://doi.org/10.1038/20859
Coverage:	LATITUDE: -78.464420 * LONGITUDE: 106.837320
	DATE/TIME START: 1980-01-01T00:00:00 * DATE/TIME END: 1980-01-01T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3310 m
Event(s):	Vostok * LATITUDE: -78.464420 * LONGITUDE: 106.837320 * DATE/TIME: 1980-01-01T00:00:00 * ELEVATION: 3488.0 m * Recovery: 2755 m * LOCATION: Antarctica * CAMPAIGN: Ice_core_diverse * BASIS: Sampling/drilling ice * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: annual pressure 624 mbar; mean annual temperature -55.5°C; snow accumulation between 2.2 and
	22.5 g/cm**2/yr, about 250 ka
Comment:	Deuterium data is from core 3G between 138 and 2083 meters below surface (mbs) (with one long missing section between 312 and 320 mbs), from core 4G between 8 and 138 mbs and between 1920 and 2546 mbs and from core 5G between 2504 and 2757 mbs. Ash layers help to make link between cores. No correction was applied for 3G and 4G core taken as reference depth. For 5G samples, a value of 3.41 m have been added to the depth measured in the field below depth of 2500 m. The temperature change is calculated using a deuterium/temperature gradient of 9‰/°C after accounting for the isotopic change of sea-water. No correction for the influence of the geographical position of the ice was applied.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ Deuterium [‰ SMOW] (δD) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * COMMENT: Deuterium measurements have been performed on three adjacent cores 3G, 4G and 5G (see Figure 1 of Jouzel et al., 1996). It combines results successively published in Jouzel et al. (1987, 1993 and 1996). Deuterium values have been measured on ice samples of length comprised between 0.5 and 2 m (down to 2080 m) then every 1 m. Data was re-interpolated on 1m intervals afterwards. The ice recovery is 85% or higher. Measurement accuracy is of ± 0.5 per mil SMOW
	Temperature, difference [°C] (delta T) * PI: Petit, Jean Robert (jean-robert.petit@univ-grenoble-alpes.fr) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6622 data points
*/
Depth ice/snow [m]	Age [ka BP]	δD [‰ SMOW]	delta T [°C]
694	44.715	-472.5	-6.55
695	44.800	-477.9	-7.44
696	44.887	-475.5	-7.04
697	44.972	-473.3	-6.68
698	45.055	-473.6	-6.72
699	45.139	-473.4	-6.69
700	45.225	-477.7	-7.40
701	45.315	-482.3	-8.16
702	45.407	-480.8	-7.91
703	45.497	-479.2	-7.64
704	45.587	-481.0	-7.94
705	45.677	-477.6	-7.38
706	45.762	-472.6	-6.55
707	45.846	-474.9	-6.93
708	45.932	-475.4	-7.01
709	46.018	-475.5	-7.02
710	46.104	-477.7	-7.39
711	46.193	-477.7	-7.38
712	46.281	-478.2	-7.47
713	46.370	-478.5	-7.51
714	46.457	-476.3	-7.15
715	46.543	-474.1	-6.78
716	46.628	-474.8	-6.90
717	46.713	-474.9	-6.91
718	46.797	-472.3	-6.48
719	46.881	-473.7	-6.71
720	46.966	-475.0	-6.92
721	47.050	-473.5	-6.67
722	47.133	-471.2	-6.29
723	47.214	-469.0	-5.92
724	47.295	-470.5	-6.17
725	47.378	-473.9	-6.73
726	47.462	-472.8	-6.55
727	47.546	-474.2	-6.78
728	47.631	-475.5	-6.99
729	47.716	-471.7	-6.36
730	47.798	-471.2	-6.28
731	47.881	-474.0	-6.74
732	47.966	-474.7	-6.85
733	48.050	-472.3	-6.46
734	48.134	-473.5	-6.65
735	48.218	-472.5	-6.49
736	48.300	-469.7	-6.02
737	48.381	-469.9	-6.05
738	48.461	-468.4	-5.80
739	48.541	-468.6	-5.83
740	48.622	-471.2	-6.26
741	48.704	-471.8	-6.36
742	48.787	-472.5	-6.48
743	48.870	-472.0	-6.39
744	48.953	-471.1	-6.24
745	49.034	-468.2	-5.76
746	49.113	-468.3	-5.77
747	49.193	-469.0	-5.89
748	49.272	-466.7	-5.51
749	49.350	-466.7	-5.51
750	49.430	-469.0	-5.89
751	49.510	-469.5	-5.97
752	49.591	-470.1	-6.07
753	49.672	-468.3	-5.78
754	49.750	-465.4	-5.30
755	49.828	-467.1	-5.58
756	49.907	-467.2	-5.60
757	49.985	-464.7	-5.18
758	50.061	-463.8	-5.03
759	50.138	-466.3	-5.45
760	50.217	-467.8	-5.70
761	50.295	-465.8	-5.37
762	50.374	-466.8	-5.54
763	50.452	-466.8	-5.54
764	50.531	-467.5	-5.65
765	50.610	-467.0	-5.57
766	50.688	-464.7	-5.19
767	50.766	-467.9	-5.72
768	50.847	-470.0	-6.07
769	50.928	-468.9	-5.89
770	51.009	-468.0	-5.74
771	51.086	-463.0	-4.91
772	51.159	-456.1	-3.77
773	51.230	-459.5	-4.34
774	51.306	-465.8	-5.38
775	51.384	-467.1	-5.60
776	51.465	-470.8	-6.21
777	51.549	-473.1	-6.60
778	51.633	-472.1	-6.43
779	51.715	-466.3	-5.47
780	51.794	-467.0	-5.59
781	51.874	-469.6	-6.02
782	51.955	-466.8	-5.56
783	52.034	-466.8	-5.56
784	52.114	-468.3	-5.81
785	52.195	-468.5	-5.84
786	52.275	-466.7	-5.55
787	52.352	-463.6	-5.03
788	52.430	-467.0	-5.60
789	52.511	-470.2	-6.13
790	52.594	-470.8	-6.23
791	52.679	-473.7	-6.71
792	52.763	-470.3	-6.15
793	52.846	-470.0	-6.10
794	52.931	-475.0	-6.93
795	53.019	-476.5	-7.18
796	53.107	-475.8	-7.07
797	53.193	-471.5	-6.36
798	53.275	-467.2	-5.65
799	53.355	-466.6	-5.55
800	53.436	-469.6	-6.05
801	53.520	-473.2	-6.65
802	53.606	-473.2	-6.65
803	53.692	-472.6	-6.55
804	53.775	-469.5	-6.04
805	53.858	-470.6	-6.22
806	53.942	-472.2	-6.49
807	54.026	-470.1	-6.14
808	54.111	-472.8	-6.60
809	54.198	-475.6	-7.06
810	54.286	-475.0	-6.96
811	54.372	-471.6	-6.40
812	54.457	-472.4	-6.53
813	54.544	-474.0	-6.80
814	54.629	-470.2	-6.17
815	54.713	-471.3	-6.35
816	54.797	-470.9	-6.29
817	54.881	-471.3	-6.36
818	54.967	-473.4	-6.71
819	55.052	-471.0	-6.31
820	55.136	-470.1	-6.16
821	55.218	-466.6	-5.58
822	55.297	-465.1	-5.34
823	55.377	-467.0	-5.65
824	55.457	-465.6	-5.42
825	55.536	-464.3	-5.21
826	55.615	-465.6	-5.43
827	55.694	-466.3	-5.54
828	55.775	-467.9	-5.81
829	55.855	-464.4	-5.23
830	55.933	-461.8	-4.80
831	56.009	-463.5	-5.09
832	56.087	-462.7	-4.95
833	56.163	-461.2	-4.71
834	56.239	-462.5	-4.92
835	56.317	-463.6	-5.11
836	56.394	-461.5	-4.76
837	56.471	-463.5	-5.09
838	56.548	-463.5	-5.10
839	56.624	-459.0	-4.35
840	56.698	-459.4	-4.42
841	56.774	-462.2	-4.88
842	56.850	-459.7	-4.47
843	56.922	-455.1	-3.71
844	56.993	-454.9	-3.68
845	57.065	-457.9	-4.18
846	57.139	-460.1	-4.54
847	57.215	-461.2	-4.73
848	57.289	-456.9	-4.01
849	57.362	-457.1	-4.05
850	57.436	-461.9	-4.85
851	57.513	-461.9	-4.85
852	57.590	-462.0	-4.86
853	57.669	-467.5	-5.78
854	57.750	-465.9	-5.51
855	57.828	-460.7	-4.65
856	57.905	-462.7	-4.98
857	57.981	-460.7	-4.65
858	58.057	-460.5	-4.62
859	58.133	-462.2	-4.90
860	58.211	-462.6	-4.96
861	58.286	-458.4	-4.27
862	58.360	-458.1	-4.22
863	58.436	-462.4	-4.93
864	58.514	-464.1	-5.21
865	58.594	-466.8	-5.66
866	58.676	-468.0	-5.86
867	58.759	-469.2	-6.06
868	58.842	-468.4	-5.93
869	58.925	-467.9	-5.85
870	59.008	-469.1	-6.04
871	59.093	-471.3	-6.41
872	59.178	-470.7	-6.31
873	59.262	-468.0	-5.86
874	59.345	-467.9	-5.85
875	59.428	-469.0	-6.03
876	59.511	-468.0	-5.86
877	59.593	-466.0	-5.53
878	59.674	-466.0	-5.53
879	59.755	-466.0	-5.53
880	59.836	-467.7	-5.81
881	59.921	-471.8	-6.49
882	60.007	-472.0	-6.53
883	60.093	-469.7	-6.15
884	60.177	-469.5	-6.11
885	60.262	-470.0	-6.20
886	60.348	-471.5	-6.45
887	60.433	-470.6	-6.30
888	60.519	-470.5	-6.28
889	60.605	-472.0	-6.53
890	60.692	-472.3	-6.58
891	60.779	-472.5	-6.61
892	60.869	-476.7	-7.31
893	60.961	-477.7	-7.48
894	61.052	-474.7	-6.98
895	61.141	-473.7	-6.81
896	61.229	-472.0	-6.53
897	61.317	-474.1	-6.88
898	61.406	-474.0	-6.86
899	61.496	-474.8	-7.00
900	61.586	-476.4	-7.26
901	61.677	-474.0	-6.86
902	61.765	-471.8	-6.50
903	61.852	-472.4	-6.60
904	61.941	-474.8	-7.00
905	62.031	-475.4	-7.10
906	62.121	-475.1	-7.05
907	62.213	-477.5	-7.44
908	62.307	-479.2	-7.72
909	62.401	-478.7	-7.64
910	62.497	-481.4	-8.09
911	62.594	-481.0	-8.02
912	62.689	-478.9	-7.67
913	62.783	-478.1	-7.54
914	62.877	-477.9	-7.51
915	62.970	-477.9	-7.51
916	63.064	-477.9	-7.51
917	63.157	-477.9	-7.51
918	63.249	-475.5	-7.11
919	63.338	-471.4	-6.43
920	63.424	-470.4	-6.26
921	63.512	-473.9	-6.84
922	63.600	-472.8	-6.66
923	63.688	-471.3	-6.41
924	63.776	-473.8	-6.83
925	63.865	-473.8	-6.82
926	63.954	-473.6	-6.79
927	64.043	-474.5	-6.94
928	64.134	-476.5	-7.27
929	64.228	-479.1	-7.70
930	64.322	-478.2	-7.55
931	64.416	-477.3	-7.40
932	64.510	-480.4	-7.91
933	64.605	-477.5	-7.43
934	64.698	-477.9	-7.49
935	64.793	-480.8	-7.97
936	64.890	-480.5	-7.92
937	64.987	-482.0	-8.17
938	65.085	-480.9	-7.98
939	65.182	-480.7	-7.95
940	65.278	-479.6	-7.76
941	65.371	-476.5	-7.25
942	65.464	-478.0	-7.49
943	65.559	-479.3	-7.71
944	65.655	-482.0	-8.15
945	65.756	-486.2	-8.85
946	65.855	-479.6	-7.75
947	65.949	-477.5	-7.40
948	66.045	-482.4	-8.21
949	66.144	-483.0	-8.31
950	66.243	-481.5	-8.06
951	66.338	-477.1	-7.33
952	66.429	-474.4	-6.88
953	66.520	-475.6	-7.07
954	66.613	-479.6	-7.73
955	66.708	-479.8	-7.76
956	66.803	-478.5	-7.54
957	66.898	-479.7	-7.73
958	66.992	-478.0	-7.44
959	67.085	-476.7	-7.22
960	67.178	-478.2	-7.47
961	67.272	-479.2	-7.63
962	67.367	-478.6	-7.52
963	67.462	-480.3	-7.80
964	67.557	-479.8	-7.71
965	67.653	-480.7	-7.86
966	67.750	-482.5	-8.15
967	67.848	-481.9	-8.04
968	67.945	-481.0	-7.89
969	68.041	-479.0	-7.55
970	68.136	-480.5	-7.80
971	68.233	-483.4	-8.27
972	68.330	-479.7	-7.65
973	68.424	-478.5	-7.45
974	68.520	-481.9	-8.01
975	68.617	-481.5	-7.94
976	68.715	-483.1	-8.20
977	68.811	-479.5	-7.59
978	68.902	-472.1	-6.36
979	68.987	-468.8	-5.81
980	69.071	-470.7	-6.12
981	69.155	-467.7	-5.62
982	69.238	-468.5	-5.75
983	69.324	-474.2	-6.69
984	69.413	-475.6	-6.92
985	69.506	-479.4	-7.54
986	69.599	-478.1	-7.33
987	69.691	-476.0	-6.97
988	69.780	-473.5	-6.55
989	69.869	-474.7	-6.75
990	69.959	-478.1	-7.31
991	70.054	-481.3	-7.84
992	70.149	-480.6	-7.72
993	70.243	-476.6	-7.05
994	70.334	-476.8	-7.08
995	70.425	-477.9	-7.26
996	70.515	-473.5	-6.52
997	70.600	-468.4	-5.67
998	70.683	-468.4	-5.67
999	70.766	-468.4	-5.67
1000	70.848	-468.4	-5.66
1001	70.931	-468.4	-5.66
1002	71.013	-468.7	-5.70
1003	71.096	-469.0	-5.75
1004	71.180	-470.1	-5.93
1005	71.264	-470.5	-5.99
1006	71.347	-467.2	-5.44
1007	71.427	-465.5	-5.15
1008	71.506	-462.2	-4.60
1009	71.584	-466.4	-5.30
1010	71.664	-465.8	-5.20
1011	71.743	-463.5	-4.81
1012	71.822	-466.8	-5.36
1013	71.905	-471.5	-6.13
1014	71.989	-468.0	-5.55
1015	72.070	-467.0	-5.38
1016	72.152	-468.9	-5.69
1017	72.235	-469.6	-5.81
1018	72.318	-469.7	-5.82
1019	72.403	-472.5	-6.28
1020	72.489	-474.0	-6.53
1021	72.578	-476.2	-6.89
1022	72.666	-473.2	-6.39
1023	72.753	-474.7	-6.64
1024	72.840	-470.7	-5.97
1025	72.922	-466.6	-5.29
1026	73.003	-469.5	-5.77
1027	73.087	-470.9	-6.00
1028	73.172	-472.8	-6.31
1029	73.258	-473.6	-6.44
1030	73.347	-477.6	-7.10
1031	73.440	-481.9	-7.81
1032	73.533	-476.8	-6.96
1033	73.620	-471.6	-6.10
1034	73.706	-474.7	-6.61
1035	73.795	-477.8	-7.12
1036	73.885	-476.2	-6.85
1037	73.973	-473.8	-6.45
1038	74.060	-474.5	-6.56
1039	74.150	-478.2	-7.17
1040	74.238	-473.0	-6.31
1041	74.322	-470.6	-5.91
1042	74.405	-468.9	-5.62
1043	74.484	-463.6	-4.74
1044	74.565	-471.4	-6.03
1045	74.651	-476.8	-6.92
1046	74.738	-470.5	-5.87
1047	74.821	-470.4	-5.85
1048	74.903	-469.4	-5.68
1049	74.985	-469.0	-5.61
1050	75.066	-467.8	-5.41
1051	75.147	-469.7	-5.72
1052	75.229	-467.9	-5.42
1053	75.308	-466.1	-5.12
1054	75.388	-467.3	-5.32
1055	75.468	-467.9	-5.41
1056	75.547	-466.2	-5.13
1057	75.625	-463.4	-4.66
1058	75.701	-462.6	-4.53
1059	75.776	-461.8	-4.39
1060	75.850	-461.6	-4.35
1061	75.928	-468.0	-5.41
1062	76.007	-465.5	-5.00
1063	76.084	-464.5	-4.83
1064	76.162	-466.9	-5.23
1065	76.239	-461.7	-4.37
1066	76.313	-459.8	-4.05
1067	76.388	-464.3	-4.80
1068	76.465	-466.0	-5.08
1069	76.543	-466.5	-5.16
1070	76.622	-466.9	-5.22
1071	76.700	-465.1	-4.92
1072	76.777	-463.6	-4.67
1073	76.854	-466.1	-5.09
1074	76.933	-468.6	-5.50
1075	77.014	-468.4	-5.47
1076	77.094	-468.1	-5.42
1077	77.175	-471.0	-5.90
1078	77.259	-473.6	-6.33
1079	77.345	-475.9	-6.71
1080	77.433	-478.5	-7.14
1081	77.521	-475.2	-6.59
1082	77.606	-470.5	-5.81
1083	77.687	-470.2	-5.76
1084	77.769	-470.5	-5.81
1085	77.853	-474.4	-6.45
1086	77.938	-474.8	-6.52
1087	78.025	-475.4	-6.62
1088	78.113	-479.4	-7.28
1089	78.200	-472.0	-6.06
1090	78.277	-458.5	-3.82
1091	78.353	-469.9	-5.71
1092	78.437	-476.4	-6.79
1093	78.522	-472.4	-6.12
1094	78.606	-473.6	-6.32
1095	78.690	-472.0	-6.06
1096	78.772	-470.3	-5.78
1097	78.854	-470.9	-5.87
1098	78.937	-473.1	-6.24
1099	79.020	-471.1	-5.91
1100	79.098	-464.4	-4.80
1101	79.174	-464.4	-4.80
1102	79.251	-465.6	-5.00
1103	79.327	-464.2	-4.76
1104	79.402	-461.6	-4.33
1105	79.478	-468.2	-5.43
1106	79.557	-468.6	-5.50
1107	79.636	-467.0	-5.23
1108	79.714	-465.2	-4.93
1109	79.791	-467.3	-5.28
1110	79.870	-468.1	-5.41
1111	79.947	-465.3	-4.95
1112	80.020	-457.5	-3.66
1113	80.093	-464.8	-4.87
1114	80.173	-473.9	-6.38
1115	80.257	-472.3	-6.11
1116	80.341	-474.0	-6.39
1117	80.422	-468.1	-5.41
1118	80.498	-462.3	-4.45
1119	80.572	-461.1	-4.25
1120	80.645	-462.0	-4.40
1121	80.719	-464.1	-4.75
1122	80.794	-464.1	-4.75
1123	80.869	-462.6	-4.50
1124	80.943	-463.6	-4.67
1125	81.019	-465.2	-4.93
1126	81.096	-466.8	-5.20
1127	81.170	-459.8	-4.04
1128	81.240	-455.3	-3.29
1129	81.309	-458.8	-3.87
1130	81.381	-462.3	-4.45
1131	81.453	-458.9	-3.89
1132	81.523	-455.5	-3.33
1133	81.592	-458.3	-3.79
1134	81.662	-458.3	-3.79
1135	81.732	-458.4	-3.81
1136	81.802	-458.0	-3.74
1137	81.872	-457.9	-3.73
1138	81.942	-458.5	-3.83
1139	82.012	-456.4	-3.48
1140	82.080	-456.9	-3.56
1141	82.148	-453.6	-3.01
1142	82.213	-450.7	-2.54
1143	82.280	-457.4	-3.65
1144	82.352	-464.6	-4.85
1145	82.427	-463.0	-4.59
1146	82.500	-461.3	-4.31
1147	82.573	-462.6	-4.53
1148	82.647	-463.9	-4.75
1149	82.721	-461.0	-4.27
1150	82.792	-458.0	-3.78
1151	82.860	-453.9	-3.10
1152	82.925	-449.8	-2.42
1153	82.990	-453.1	-2.98
1154	83.055	-450.7	-2.58
1155	83.121	-456.0	-3.46
1156	83.190	-458.7	-3.92
1157	83.261	-458.8	-3.94
1158	83.331	-458.8	-3.94
1159	83.401	-457.3	-3.70
1160	83.470	-456.8	-3.62
1161	83.538	-454.7	-3.27
1162	83.608	-461.4	-4.39
1163	83.679	-457.3	-3.71
1164	83.747	-454.4	-3.23
1165	83.814	-454.2	-3.20
1166	83.881	-456.2	-3.54
1167	83.952	-460.9	-4.32
1168	84.025	-462.8	-4.64
1169	84.097	-460.5	-4.27
1170	84.168	-458.3	-3.91
1171	84.238	-458.3	-3.91
1172	84.308	-458.3	-3.92
1173	84.378	-458.8	-4.01
1174	84.448	-457.3	-3.76
1175	84.515	-449.8	-2.53
1176	84.576	-444.4	-1.64
1177	84.638	-450.5	-2.65
1178	84.703	-452.7	-3.03
1179	84.770	-455.1	-3.43
1180	84.838	-455.4	-3.49
1181	84.905	-454.2	-3.29
1182	84.971	-451.9	-2.92
1183	85.036	-450.2	-2.64
1184	85.100	-449.2	-2.48
1185	85.164	-451.8	-2.92
1186	85.229	-453.0	-3.12
1187	85.296	-453.6	-3.23
1188	85.361	-450.3	-2.69
1189	85.425	-450.0	-2.64
1190	85.489	-448.9	-2.47
1191	85.551	-448.1	-2.34
1192	85.615	-450.3	-2.71
1193	85.680	-452.0	-3.00
1194	85.746	-455.2	-3.53
1195	85.814	-454.5	-3.42
1196	85.881	-455.1	-3.53
1197	85.949	-455.0	-3.51
1198	86.016	-454.2	-3.38
1199	86.083	-454.2	-3.38
1200	86.150	-454.2	-3.38
1201	86.218	-455.7	-3.63
1202	86.286	-456.5	-3.76
1203	86.355	-455.8	-3.64
1204	86.423	-456.6	-3.78
1205	86.492	-457.4	-3.91
1206	86.562	-460.0	-4.34
1207	86.635	-463.2	-4.87
1208	86.707	-457.9	-3.99
1209	86.777	-460.1	-4.35
1210	86.848	-458.8	-4.14
1211	86.919	-458.7	-4.12
1212	86.989	-459.0	-4.17
1213	87.060	-460.4	-4.40
1214	87.132	-460.9	-4.49
1215	87.203	-460.3	-4.39
1216	87.274	-457.1	-3.86
1217	87.342	-454.7	-3.46
1218	87.410	-458.9	-4.15
1219	87.482	-463.0	-4.83
1220	87.554	-460.1	-4.35
1221	87.624	-456.8	-3.80
1222	87.695	-461.3	-4.55
1223	87.766	-459.7	-4.28
1224	87.837	-458.8	-4.13
1225	87.907	-459.3	-4.21
1226	87.978	-460.7	-4.43
1227	88.049	-460.7	-4.43
1228	88.122	-462.9	-4.79
1229	88.196	-465.0	-5.13
1230	88.271	-465.0	-5.12
1231	88.345	-465.0	-5.12
1232	88.420	-465.0	-5.11
1233	88.495	-465.0	-5.10
1234	88.570	-464.8	-5.07
1235	88.644	-464.6	-5.03
1236	88.719	-464.9	-5.07
1237	88.793	-464.1	-4.93
1238	88.866	-463.7	-4.86
1239	88.938	-459.1	-4.09
1240	89.008	-459.2	-4.10
1241	89.077	-459.3	-4.11
1242	89.148	-462.6	-4.65
1243	89.221	-464.2	-4.91
1244	89.296	-466.8	-5.34
1245	89.373	-469.4	-5.76
1246	89.450	-466.2	-5.23
1247	89.523	-463.0	-4.69
1248	89.597	-465.5	-5.10
1249	89.672	-467.5	-5.43
1250	89.748	-467.5	-5.42
1251	89.825	-467.5	-5.41
1252	89.900	-465.4	-5.06
1253	89.973	-463.2	-4.69
1254	90.048	-468.8	-5.61
1255	90.128	-475.3	-6.68
1256	90.209	-470.9	-5.94
1257	90.286	-467.3	-5.34
1258	90.362	-468.8	-5.58
1259	90.440	-469.7	-5.73
1260	90.517	-470.0	-5.77
1261	90.594	-466.5	-5.18
1262	90.668	-466.1	-5.11
1263	90.740	-460.4	-4.16
1264	90.812	-465.5	-5.00
1265	90.885	-464.3	-4.79
1266	90.959	-465.7	-5.02
1267	91.033	-465.6	-4.99
1268	91.107	-466.8	-5.19
1269	91.182	-467.0	-5.21
1270	91.258	-470.1	-5.72
1271	91.336	-470.7	-5.81
1272	91.411	-464.2	-4.73
1273	91.480	-457.0	-3.53
1274	91.547	-457.5	-3.61
1275	91.615	-460.2	-4.05
1276	91.685	-460.7	-4.12
1277	91.753	-459.1	-3.85
1278	91.823	-463.7	-4.61
1279	91.896	-465.2	-4.85
1280	91.968	-463.6	-4.59
1281	92.040	-465.1	-4.83
1282	92.114	-466.7	-5.10
1283	92.187	-464.4	-4.71
1284	92.259	-463.4	-4.54
1285	92.329	-460.1	-3.99
1286	92.398	-460.9	-4.12
1287	92.470	-465.8	-4.94
1288	92.542	-464.8	-4.77
1289	92.617	-468.9	-5.45
1290	92.690	-463.7	-4.58
1291	92.759	-456.1	-3.32
1292	92.827	-461.9	-4.28
1293	92.897	-463.0	-4.46
1294	92.967	-460.6	-4.06
1295	93.037	-461.1	-4.14
1296	93.107	-464.0	-4.62
1297	93.180	-467.2	-5.15
1298	93.254	-464.5	-4.70
1299	93.325	-463.2	-4.48
1300	93.397	-464.5	-4.69
1301	93.468	-463.0	-4.44
1302	93.540	-465.9	-4.92
1303	93.615	-470.1	-5.61
1304	93.690	-464.5	-4.68
1305	93.761	-462.0	-4.27
1306	93.829	-457.1	-3.45
1307	93.895	-456.0	-3.27
1308	93.961	-457.1	-3.45
1309	94.026	-455.9	-3.25
1310	94.093	-459.7	-3.88
1311	94.164	-466.3	-4.97
1312	94.238	-466.3	-4.97
1313	94.311	-465.5	-4.84
1314	94.382	-461.2	-4.12
1315	94.450	-458.4	-3.66
1316	94.517	-457.5	-3.51
1317	94.585	-461.4	-4.15
1318	94.655	-462.6	-4.35
1319	94.725	-463.2	-4.45
1320	94.795	-460.8	-4.05
1321	94.864	-459.7	-3.87
1322	94.932	-459.3	-3.80
1323	95.000	-460.3	-3.96
1324	95.070	-462.9	-4.39
1325	95.141	-465.2	-4.77
1326	95.214	-466.0	-4.90
1327	95.284	-458.4	-3.64
1328	95.351	-456.9	-3.39
1329	95.418	-459.9	-3.89
1330	95.487	-460.6	-4.00
1331	95.556	-460.6	-4.00
1332	95.624	-460.6	-4.00
1333	95.693	-459.7	-3.85
1334	95.761	-458.8	-3.70
1335	95.828	-458.8	-3.70
1336	95.895	-458.8	-3.70
1337	95.964	-460.6	-4.00
1338	96.033	-462.4	-4.30
1339	96.103	-460.3	-3.95
1340	96.170	-457.6	-3.50
1341	96.237	-457.6	-3.50
1342	96.304	-459.4	-3.80
1343	96.372	-459.8	-3.87
1344	96.441	-462.0	-4.23
1345	96.511	-462.7	-4.35
1346	96.582	-462.3	-4.28
1347	96.652	-462.7	-4.35
1348	96.722	-459.9	-3.88
1349	96.791	-461.8	-4.20
1350	96.861	-463.7	-4.51
1351	96.933	-463.7	-4.51
1352	97.004	-463.7	-4.51
1353	97.075	-463.1	-4.42
1354	97.148	-468.1	-5.24
1355	97.222	-466.0	-4.90
1356	97.294	-462.7	-4.35
1357	97.365	-464.0	-4.57
1358	97.439	-469.4	-5.46
1359	97.514	-466.5	-4.98
1360	97.588	-465.9	-4.88
1361	97.659	-461.3	-4.12
1362	97.727	-456.7	-3.36
1363	97.794	-461.2	-4.10
1364	97.864	-462.0	-4.24
1365	97.936	-465.5	-4.82
1366	98.010	-468.9	-5.38
1367	98.085	-465.8	-4.87
1368	98.157	-462.8	-4.38
1369	98.228	-463.6	-4.51
1370	98.300	-465.6	-4.84
1371	98.371	-460.1	-3.93
1372	98.439	-457.5	-3.50
1373	98.505	-457.5	-3.51
1374	98.572	-457.5	-3.51
1375	98.640	-461.2	-4.12
1376	98.712	-465.0	-4.75
1377	98.783	-462.8	-4.39
1378	98.855	-463.8	-4.56
1379	98.925	-460.4	-4.00
1380	98.994	-459.2	-3.80
1381	99.063	-461.4	-4.17
1382	99.134	-463.9	-4.58
1383	99.205	-462.5	-4.35
1384	99.275	-461.1	-4.12
1385	99.345	-460.8	-4.07
1386	99.414	-460.5	-4.03
1387	99.484	-460.4	-4.01
1388	99.553	-460.0	-3.95
1389	99.622	-459.8	-3.92
1390	99.691	-460.8	-4.08
1391	99.760	-459.6	-3.89
1392	99.828	-457.2	-3.49
1393	99.894	-457.2	-3.49
1394	99.961	-457.2	-3.49
1395	100.028	-456.9	-3.45
1396	100.095	-458.1	-3.65
1397	100.163	-459.2	-3.83
1398	100.232	-460.7	-4.08
1399	100.301	-457.7	-3.59
1400	100.367	-454.8	-3.11
1401	100.432	-454.8	-3.11
1402	100.498	-456.5	-3.39
1403	100.565	-458.2	-3.68
1404	100.633	-458.2	-3.68
1405	100.700	-457.8	-3.61
1406	100.768	-457.3	-3.53
1407	100.835	-456.6	-3.42
1408	100.902	-457.9	-3.64
1409	100.969	-457.2	-3.52
1410	101.036	-456.5	-3.41
1411	101.102	-455.8	-3.29
1412	101.168	-455.1	-3.18
1413	101.234	-455.1	-3.18
1414	101.299	-453.9	-2.99
1415	101.363	-452.6	-2.77
1416	101.427	-452.0	-2.67
1417	101.490	-451.4	-2.58
1418	101.554	-453.7	-2.96
1419	101.618	-452.8	-2.81
1420	101.681	-449.5	-2.27
1421	101.743	-450.1	-2.37
1422	101.806	-450.8	-2.49
1423	101.868	-450.0	-2.36
1424	101.930	-449.2	-2.23
1425	101.991	-448.4	-2.10
1426	102.052	-447.6	-1.97
1427	102.114	-450.3	-2.42
1428	102.177	-452.9	-2.86
1429	102.241	-451.5	-2.63
1430	102.304	-450.2	-2.42
1431	102.366	-449.2	-2.26
1432	102.427	-448.3	-2.11
1433	102.489	-450.5	-2.48
1434	102.553	-452.7	-2.85
1435	102.618	-454.1	-3.08
1436	102.684	-455.5	-3.32
1437	102.749	-452.5	-2.82
1438	102.812	-449.5	-2.33
1439	102.876	-453.1	-2.93
1440	102.942	-456.8	-3.55
1441	103.008	-454.0	-3.09
1442	103.073	-451.1	-2.61
1443	103.137	-454.6	-3.19
1444	103.205	-458.1	-3.78
1445	103.273	-457.4	-3.67
1446	103.341	-456.7	-3.55
1447	103.410	-459.6	-4.04
